danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0.668,0.857,7,-2.944,0,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959,audio_features,0QvvVhTatOAgPH7q7r89fE,spotify:track:0QvvVhTatOAgPH7q7r89fE,https://api.spotify.com/v1/tracks/0QvvVhTatOAgPH7q7r89fE,https://api.spotify.com/v1/audio-analysis/0QvvVhTatOAgPH7q7r89fE,215693,4,5
0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,audio_features,2ENexcMEMsYk0rVJigVD3i,spotify:track:2ENexcMEMsYk0rVJigVD3i,https://api.spotify.com/v1/tracks/2ENexcMEMsYk0rVJigVD3i,https://api.spotify.com/v1/audio-analysis/2ENexcMEMsYk0rVJigVD3i,235493,4,5
0.45,0.465,7,-7.867,0,0.268,0.185,0.0,0.0782,0.788,70.231,audio_features,2U5cq89GCnsR1yixKkC8d5,spotify:track:2U5cq89GCnsR1yixKkC8d5,https://api.spotify.com/v1/tracks/2U5cq89GCnsR1yixKkC8d5,https://api.spotify.com/v1/audio-analysis/2U5cq89GCnsR1yixKkC8d5,202827,3,6
0.524,0.972,4,-1.569,0,0.0431,0.00656,0.00058,0.224,0.476,175.017,audio_features,2SSYLcSiT7oImgsS8cPyQu,spotify:track:2SSYLcSiT7oImgsS8cPyQu,https://api.spotify.com/v1/tracks/2SSYLcSiT7oImgsS8cPyQu,https://api.spotify.com/v1/audio-analysis/2SSYLcSiT7oImgsS8cPyQu,182333,4,2
0.722,0.824,7,-3.108,1,0.044,0.134,0.0,0.257,0.501,128.003,audio_features,3YnYviuzoWwuSyzhJM6NU5,spotify:track:3YnYviuzoWwuSyzhJM6NU5,https://api.spotify.com/v1/tracks/3YnYviuzoWwuSyzhJM6NU5,https://api.spotify.com/v1/audio-analysis/3YnYviuzoWwuSyzhJM6NU5,286827,4,0
0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,audio_features,62zFEHfAYl5kdHYOivj4BC,spotify:track:62zFEHfAYl5kdHYOivj4BC,https://api.spotify.com/v1/tracks/62zFEHfAYl5kdHYOivj4BC,https://api.spotify.com/v1/audio-analysis/62zFEHfAYl5kdHYOivj4BC,227280,4,5
0.584,0.889,1,-5.941,0,0.0343,0.0462,0.828,0.309,0.464,126.04,audio_features,5UqCQaDshqbIk3pkhy4Pjg,spotify:track:5UqCQaDshqbIk3pkhy4Pjg,https://api.spotify.com/v1/tracks/5UqCQaDshqbIk3pkhy4Pjg,https://api.spotify.com/v1/audio-analysis/5UqCQaDshqbIk3pkhy4Pjg,199907,4,4
0.819,0.828,8,-4.906,0,0.108,0.39,0.00611,0.258,0.693,144.953,audio_features,23SqoExnmW4BTJEYzMJze8,spotify:track:23SqoExnmW4BTJEYzMJze8,https://api.spotify.com/v1/tracks/23SqoExnmW4BTJEYzMJze8,https://api.spotify.com/v1/audio-analysis/23SqoExnmW4BTJEYzMJze8,144264,4,5
0.543,0.676,1,-6.433,1,0.053,0.185,0.0,0.301,0.167,143.885,audio_features,2i7LYnvqSFfmimscnZqVLn,spotify:track:2i7LYnvqSFfmimscnZqVLn,https://api.spotify.com/v1/tracks/2i7LYnvqSFfmimscnZqVLn,https://api.spotify.com/v1/audio-analysis/2i7LYnvqSFfmimscnZqVLn,228053,4,2
0.805,0.924,7,-5.883,0,0.0439,0.391,0.00448,0.0902,0.836,139.976,audio_features,4UOXo3xWnxYdTf3sFyRaUG,spotify:track:4UOXo3xWnxYdTf3sFyRaUG,https://api.spotify.com/v1/tracks/4UOXo3xWnxYdTf3sFyRaUG,https://api.spotify.com/v1/audio-analysis/4UOXo3xWnxYdTf3sFyRaUG,181971,4,5
0.615,0.677,5,-7.906,0,0.363,0.231,0.0,0.543,0.608,170.117,audio_features,4Bj3usjRTckEJARO0dLbDf,spotify:track:4Bj3usjRTckEJARO0dLbDf,https://api.spotify.com/v1/tracks/4Bj3usjRTckEJARO0dLbDf,https://api.spotify.com/v1/audio-analysis/4Bj3usjRTckEJARO0dLbDf,209232,4,3
0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,audio_features,6epn3r7S14KUqlReYr77hA,spotify:track:6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/tracks/6epn3r7S14KUqlReYr77hA,https://api.spotify.com/v1/audio-analysis/6epn3r7S14KUqlReYr77hA,214240,4,5
0.73,0.777,3,-5.194,0,0.0496,0.105,0.000478,0.0691,0.575,130.0,audio_features,3C0nOe05EIt1390bVABLyN,spotify:track:3C0nOe05EIt1390bVABLyN,https://api.spotify.com/v1/tracks/3C0nOe05EIt1390bVABLyN,https://api.spotify.com/v1/audio-analysis/3C0nOe05EIt1390bVABLyN,284867,4,5
0.76,0.652,6,-7.321,1,0.232,0.0348,0.0,0.307,0.759,100.315,audio_features,4X4tgBEUiT6WqB2oTJ5ynH,spotify:track:4X4tgBEUiT6WqB2oTJ5ynH,https://api.spotify.com/v1/tracks/4X4tgBEUiT6WqB2oTJ5ynH,https://api.spotify.com/v1/audio-analysis/4X4tgBEUiT6WqB2oTJ5ynH,177685,4,3
0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,audio_features,4zN21mbAuaD0WqtmaTZZeP,spotify:track:4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/tracks/4zN21mbAuaD0WqtmaTZZeP,https://api.spotify.com/v1/audio-analysis/4zN21mbAuaD0WqtmaTZZeP,186662,4,5
0.709,0.588,1,-4.461,1,0.0721,0.0971,0.0,0.117,0.195,143.971,audio_features,0jB0RNZIfaihaDKNmdrI40,spotify:track:0jB0RNZIfaihaDKNmdrI40,https://api.spotify.com/v1/tracks/0jB0RNZIfaihaDKNmdrI40,https://api.spotify.com/v1/audio-analysis/0jB0RNZIfaihaDKNmdrI40,206813,4,2
0.691,0.922,1,-3.766,0,0.152,0.0596,0.0,0.386,0.72,128.058,audio_features,5tmuKTnfayZkjDlukTz3vT,spotify:track:5tmuKTnfayZkjDlukTz3vT,https://api.spotify.com/v1/tracks/5tmuKTnfayZkjDlukTz3vT,https://api.spotify.com/v1/audio-analysis/5tmuKTnfayZkjDlukTz3vT,208612,4,5
0.844,0.659,6,-5.587,0,0.0626,0.0376,8.07e-05,0.0523,0.54,122.683,audio_features,62LHRv9uwSNlBmByQF5jdE,spotify:track:62LHRv9uwSNlBmByQF5jdE,https://api.spotify.com/v1/tracks/62LHRv9uwSNlBmByQF5jdE,https://api.spotify.com/v1/audio-analysis/62LHRv9uwSNlBmByQF5jdE,267080,4,5
0.694,0.688,5,-5.923,0,0.0577,0.0119,0.0929,0.124,0.517,76.476,audio_features,6WusSsncC0Oo9sFHKwQii6,spotify:track:6WusSsncC0Oo9sFHKwQii6,https://api.spotify.com/v1/tracks/6WusSsncC0Oo9sFHKwQii6,https://api.spotify.com/v1/audio-analysis/6WusSsncC0Oo9sFHKwQii6,192941,4,5
0.633,0.927,2,-4.468,1,0.0839,0.0267,0.0,0.0986,0.88,146.097,audio_features,22skzmqfdWrjJylampe0kt,spotify:track:22skzmqfdWrjJylampe0kt,https://api.spotify.com/v1/tracks/22skzmqfdWrjJylampe0kt,https://api.spotify.com/v1/audio-analysis/22skzmqfdWrjJylampe0kt,258432,4,0
0.683,0.695,11,-7.321,0,0.152,0.309,0.0,0.107,0.486,90.006,audio_features,6v6xHeuMLbCuddN0ETrGhs,spotify:track:6v6xHeuMLbCuddN0ETrGhs,https://api.spotify.com/v1/tracks/6v6xHeuMLbCuddN0ETrGhs,https://api.spotify.com/v1/audio-analysis/6v6xHeuMLbCuddN0ETrGhs,214732,4,5
0.616,0.869,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.966,audio_features,6ebkx7Q5tTxrCxKq4GYj0Y,spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y,https://api.spotify.com/v1/tracks/6ebkx7Q5tTxrCxKq4GYj0Y,https://api.spotify.com/v1/audio-analysis/6ebkx7Q5tTxrCxKq4GYj0Y,234560,4,2
0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,audio_features,0U10zFw4GlBacOy9VDGfGL,spotify:track:0U10zFw4GlBacOy9VDGfGL,https://api.spotify.com/v1/tracks/0U10zFw4GlBacOy9VDGfGL,https://api.spotify.com/v1/audio-analysis/0U10zFw4GlBacOy9VDGfGL,215227,4,0
0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,audio_features,1rhXXcrYp9RRObN5gsmqCU,spotify:track:1rhXXcrYp9RRObN5gsmqCU,https://api.spotify.com/v1/tracks/1rhXXcrYp9RRObN5gsmqCU,https://api.spotify.com/v1/audio-analysis/1rhXXcrYp9RRObN5gsmqCU,157153,4,0
